Seed,Model,Dataset,Approach,Value,accuracy_10,f1_10,accuracy_50,f1_50,accuracy_100,f1_100,accuracy_250,f1_250,accuracy_500,f1_500,accuracy_750,f1_750,accuracy_1000,f1_1000,accuracy_2500,f1_2500,accuracy_5000,f1_5000,accuracy_7500,f1_7500,accuracy_9000,f1_9000
6,MLP,MNISTbinary,IneurAL (tuned),1679.0,0.6391,0.6035734268727642,0.7603,0.7600404626659399,0.8483,0.8482781375090636,0.9135,0.9135023073271488,0.9336,0.9335413771085448,0.9534,0.9533923441327646,0.947,0.9469665091229843,,,,,,,,
7,MLP,MNISTbinary,IneurAL (tuned),1621.0,0.7596,0.7572495959804363,0.7769,0.7732184507102089,0.835,0.8349657137039045,0.8873,0.8868150772380781,0.9321,0.9321025771458274,0.9503,0.9502928374040901,0.9621,0.9620994643409655,,,,,,,,
8,MLP,MNISTbinary,IneurAL (tuned),1647.0,0.5356,0.47902743556506794,0.7472,0.7447486968925802,0.8092,0.8073422204444559,0.8831,0.8828124570007251,0.9231,0.9230353717583737,0.9496,0.9496019537579105,0.9593,0.9593005091574123,,,,,,,,
9,MLP,MNISTbinary,IneurAL (tuned),1519.0,0.6905,0.6814273193604231,0.7835,0.7815387427769328,0.8442,0.8439996573398341,0.8986,0.8985259622828944,0.9372,0.937174674076119,0.9579,0.9578996778595902,0.9619,0.9619016716383859,,,,,,,,
10,MLP,MNISTbinary,IneurAL (tuned),1522.0,0.7204,0.7203489976958525,0.7925,0.7925100668116482,0.8374,0.8371158835799135,0.8925,0.8924597922765796,0.931,0.930913193063486,0.9522,0.9522017745747867,0.9594,0.9593979986120501,,,,,,,,
11,MLP,MNISTbinary,IneurAL (tuned),1542.0,0.7569,0.7558776783468104,0.8089,0.8088301428728184,0.8722,0.8722069783045601,0.9069,0.906794099961834,0.937,0.93699582546667,0.9496,0.9495973077869992,0.9617,0.9616972058038976,,,,,,,,
12,MLP,MNISTbinary,IneurAL (tuned),1676.0,0.7456,0.7451335495392832,0.7986,0.7967585953705003,0.8453,0.8452446786014444,0.8976,0.8975569061044211,0.9269,0.926876189451449,0.9452,0.9452019399374596,0.9556,0.9555937286708209,,,,,,,,
13,MLP,MNISTbinary,IneurAL (tuned),1597.0,0.7011,0.696120103184493,0.7609,0.7570693738347307,0.8335,0.8332543237974409,0.8924,0.8920423962475339,0.9132,0.9131942502934839,0.9406,0.9405922658226982,0.9425,0.9424570787765805,,,,,,,,
14,MLP,MNISTbinary,IneurAL (tuned),1565.0,0.5608,0.5047188275165526,0.7711,0.7662003683381668,0.8418,0.8409988843904633,0.9001,0.9000979090894663,0.9293,0.9293038370612455,0.9483,0.9482979666282434,0.9523,0.9522914454251091,,,,,,,,
15,MLP,MNISTbinary,IneurAL (tuned),1572.0,0.7238,0.7187239595157332,0.7999,0.7984632348358035,0.7796,0.7788739035668846,0.8994,0.8993910190759394,0.9329,0.9329029437264839,0.9475,0.9474824975270508,0.9601,0.9600979519157757,,,,,,,,
16,MLP,MNISTbinary,IneurAL (tuned),1594.0,0.5064,0.42295276643832747,0.7028,0.6979689485351385,0.8392,0.8386205536151047,0.8937,0.8937040341289317,0.9297,0.9296513972188771,0.9435,0.9434861827007666,0.9581,0.9581018919935923,,,,,,,,
17,MLP,MNISTbinary,IneurAL (tuned),1528.0,0.6364,0.6362102900896167,0.7847,0.7823292068648596,0.8642,0.8640111643898881,0.8957,0.8954132436476615,0.9285,0.9284677111028086,0.9514,0.9514024671539977,0.9576,0.957586354359155,,,,,,,,
18,MLP,MNISTbinary,IneurAL (tuned),1685.0,0.5676,0.5246919736718776,0.741,0.7410007562800301,0.8284,0.8283922344649065,0.8835,0.8834949598665386,0.9052,0.9049581567135861,0.944,0.9439824202721986,0.9524,0.9523935387280459,,,,,,,,
19,MLP,MNISTbinary,IneurAL (tuned),1557.0,0.5203,0.39091844980247353,0.8054,0.8045375560862909,0.8261,0.825426937297907,0.9041,0.9041036394446336,0.9339,0.9339035874080388,0.9534,0.9534009843635155,0.964,0.9640016475381977,,,,,,,,
