,Model,Dataset,Approach,Value
404,MLP,adult,IneurAL (tuned),7567.0
405,MLP,adult,IneurAL (tuned),2473.0
406,MLP,adult,IneurAL (tuned),7563.0
407,MLP,adult,IneurAL (tuned),3169.0
408,MLP,adult,IneurAL (tuned),3169.0
409,MLP,adult,IneurAL (tuned),7599.0
410,MLP,adult,IneurAL (tuned),3443.0
411,MLP,adult,IneurAL (tuned),2420.0
412,MLP,adult,IneurAL (tuned),7574.0
413,MLP,adult,IneurAL (tuned),7570.0
414,MLP,adult,IneurAL (tuned),7703.0
415,MLP,adult,IneurAL (tuned),7646.0
416,MLP,adult,IneurAL (tuned),3072.0
417,MLP,adult,IneurAL (tuned),7626.0
418,MLP,adult,IneurAL (tuned),7537.0
419,MLP,adult,IneurAL (tuned),2370.0
420,MLP,adult,IneurAL (tuned),3799.0
421,MLP,adult,IneurAL (tuned),2746.0
422,MLP,adult,IneurAL (tuned),2407.0
423,MLP,adult,IneurAL (tuned),2667.0
424,MLP,adult,Neuronal (official),2379.0
425,MLP,adult,Neuronal (official),2431.0
426,MLP,adult,Neuronal (official),2421.0
427,MLP,adult,Neuronal (official),2431.0
428,MLP,adult,Neuronal (official),2434.0
429,MLP,adult,Neuronal (official),2769.0
430,MLP,adult,Neuronal (official),2781.0
431,MLP,adult,Neuronal (official),3498.0
432,MLP,adult,Neuronal (official),3438.0
433,MLP,adult,Neuronal (official),2353.0
434,MLP,adult,Neuronal (official),2410.0
435,MLP,adult,Neuronal (official),3727.0
436,MLP,adult,Neuronal (official),2335.0
437,MLP,adult,Neuronal (official),6229.0
438,MLP,adult,Neuronal (official),4415.0
439,MLP,adult,Neuronal (official),5745.0
440,MLP,adult,Neuronal (official),5925.0
441,MLP,adult,Neuronal (official),6330.0
442,MLP,adult,Neuronal (official),5788.0
443,MLP,adult,Neuronal (official),8251.0
444,MLP,adult,Neuronal (official),8120.0
445,MLP,adult,Neuronal (official),6431.0
446,MLP,adult,Neuronal (official),6470.0
447,MLP,adult,Neuronal (official),7226.0
448,MLP,adult,Neuronal (official),8181.0
449,MLP,adult,Neuronal (tuned),2378.0
450,MLP,adult,Neuronal (tuned),2419.0
451,MLP,adult,Neuronal (tuned),2394.0
452,MLP,adult,Neuronal (tuned),2383.0
453,MLP,adult,Neuronal (tuned),2427.0
454,MLP,adult,Neuronal (tuned),2384.0
455,MLP,adult,Neuronal (tuned),2438.0
456,MLP,adult,Neuronal (tuned),2411.0
457,MLP,adult,Neuronal (tuned),2471.0
458,MLP,adult,Neuronal (tuned),2455.0
459,MLP,adult,Neuronal (tuned),2406.0
460,MLP,adult,Neuronal (tuned),2375.0
461,MLP,adult,Neuronal (tuned),2687.0
462,MLP,adult,Neuronal (tuned),2664.0
463,MLP,adult,Neuronal (tuned),2634.0
464,MLP,adult,Neuronal (tuned),2405.0
465,MLP,adult,Neuronal (tuned),7646.0
466,MLP,adult,Neuronal (tuned),2448.0
467,MLP,adult,Neuronal (tuned),2412.0
468,MLP,adult,Neuronal (tuned),2680.0
469,MLP,adult,Neuronal (tuned),2408.0
470,MLP,adult,Neuronal (tuned),2380.0
471,MLP,adult,Neuronal (tuned),2430.0
472,MLP,adult,Neuronal (tuned),2770.0
473,MLP,adult,Neuronal (tuned),2759.0
474,MLP,adult,Margin,2427.0
475,MLP,adult,Margin,2422.0
476,MLP,adult,Margin,2434.0
477,MLP,adult,Margin,2236.0
478,MLP,adult,Margin,2362.0
479,MLP,adult,Margin,2349.0
480,MLP,adult,Margin,2397.0
481,MLP,adult,Margin,2400.0
482,MLP,adult,Margin,2318.0
483,MLP,adult,Margin,2402.0
484,MLP,adult,Margin,2402.0
485,MLP,adult,Margin,2348.0
486,MLP,adult,Margin,7636.0
487,MLP,adult,Margin,2413.0
488,MLP,adult,Margin,2103.0
489,MLP,adult,Margin,7605.0
490,MLP,adult,Margin,2042.0
491,MLP,adult,Margin,2398.0
492,MLP,adult,Margin,2403.0
493,MLP,adult,Margin,2411.0
494,MLP,adult,Margin,2561.0
495,MLP,adult,Margin,2405.0
496,MLP,adult,Margin,2398.0
497,MLP,adult,Margin,2438.0
498,MLP,adult,Margin,2062.0
499,MLP,adult,Cesa,2657.0
500,MLP,adult,Cesa,2535.0
501,MLP,adult,Cesa,2270.0
502,MLP,adult,Cesa,2499.0
503,MLP,adult,Cesa,2439.0
504,MLP,adult,Cesa,2534.0
505,MLP,adult,Cesa,2425.0
506,MLP,adult,Cesa,7591.0
507,MLP,adult,Cesa,2281.0
508,MLP,adult,Cesa,2395.0
509,MLP,adult,Cesa,2493.0
510,MLP,adult,Cesa,2389.0
511,MLP,adult,Cesa,2453.0
512,MLP,adult,Cesa,2617.0
513,MLP,adult,Cesa,2563.0
514,MLP,adult,Cesa,2435.0
515,MLP,adult,Cesa,2382.0
516,MLP,adult,Cesa,2818.0
517,MLP,adult,Cesa,2315.0
518,MLP,adult,Cesa,2405.0
519,MLP,adult,Cesa,2444.0
520,MLP,adult,Cesa,2482.0
521,MLP,adult,Cesa,2352.0
522,MLP,adult,Cesa,2403.0
523,MLP,adult,Cesa,2594.0
